group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.68629815760586,-0.9000168649686707,,0.7862812926371893,,,,,,,,,,1.0,-0.9443655676311917,1.6862986708680785,-0.9000169063607851,,0.7862817645072937,,,,,,,,,1.0,-0.9443655676311917,,5.132622185044511e-07,1.68629815760586,,1.6862986708680785
Sentence,sentence_group,160,160,-0.06366491224616766,1.1159797371682372,-0.7799517045571346,-0.24228352758491384,0.33602803261110237,,,0.5686600588794265,0.5261735852924175,,0.21627659813384525,,,0.7477180794812739,1.0,-0.8534784740834549,1.218348322128735,-0.8028082148662395,-0.2333316297158793,0.41554010726249546,,,0.5904144866392016,0.6781037621898577,,0.24294325711671264,,,1.0,-0.8424655473751738,0.7994003563886508,0.10236858496049783,1.1159797371682372,,1.218348322128735
Complex_Event,complex_event,96,144,,1.3240700200958935,-0.7070120521001864,-0.14358723143663224,0.6170579679957073,0.7927179630431864,,,,0.4936810153061136,,0.8722814903077152,,,1.0,-0.7998259128243835,1.437338124329431,-0.7872447970530225,-0.14413218215728799,0.6500933272764087,0.8122230953692148,,,,0.5368519005132839,,0.918930197134614,,1.0,-0.8017369989473891,,0.1132681042335375,1.3240700200958935,,1.437338124329431
Basic_Event,basic_event,126,66,,0.8490713521399572,-0.39836135104879494,-0.16760558641648718,0.4507100010911624,,0.7777636024568763,,,,,,0.4417537406764247,,1.0,-0.4440086072291991,1.057426766794321,-0.4911638024576759,-0.17173744559001464,0.566262964336645,,0.8943100342383752,,,,,,0.5691547280266172,1.0,-0.5304109257739529,,0.2083554146543637,0.8490713521399572,0.0,1.057426766794321
