"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - Attn_RoPE","test",0.00501586666666028,0.0178844171636539,75.5492867219975,0.280460169362069,0.999957493011835,-0.0491597485772431,0.0591914819105636
"SRN - Attn_AbsPE_H80","test",-0.00228300000000775,0.0178844171636539,75.5492867206035,-0.127653027723343,0.999999605422466,-0.0564586152439402,0.0518926152439247
"SRN - Attn_RoPE_H80","test",0.0200546583333303,0.0178844171636539,75.5492867307477,1.12134816303027,0.919597647850692,-0.0341209569104043,0.074230273577065
"GRU - LSTM","test",0.0249886416666656,0.0178844171636539,75.5492867241355,1.39722985870904,0.801623061081871,-0.0291869735771883,0.0791642569105196
"GRU - Attn_AbsPE","test",0.0103437083333384,0.0178844171636539,75.5492867252449,0.578364295502995,0.997253512120054,-0.0438319069104984,0.0645193235771752
"GRU - Attn_RoPE","test",0.0275702083333328,0.0178844171636539,75.5492867245517,1.54157712163878,0.718997162034467,-0.0266054069105198,0.0817458235771853
"GRU - Attn_AbsPE_H80","test",0.0202713416666647,0.0178844171636539,75.5492867234336,1.13346392455337,0.915678248454832,-0.0339042735772133,0.0744469569105427
"GRU - Attn_RoPE_H80","test",0.0426090000000028,0.0178844171636539,75.5492867334836,2.38246511530698,0.2204529328929,-0.0115666152436791,0.0967846152436847
"LSTM - Attn_AbsPE","test",-0.0146449333333273,0.0178844171636539,75.5492867237898,-0.818865563206042,0.982294470889721,-0.0688205485771896,0.0395306819105351
"LSTM - Attn_RoPE","test",0.00258156666666712,0.0178844171636539,75.5492867231575,0.144347262929741,0.999999177698965,-0.0515940485772159,0.0567571819105501
"LSTM - Attn_AbsPE_H80","test",-0.0047173000000009,0.0178844171636539,75.5492867221225,-0.263765934155672,0.999970401823723,-0.0588929152439039,0.0494583152439021
"LSTM - Attn_RoPE_H80","test",0.0176203583333372,0.0178844171636539,75.5492867312961,0.98523525659794,0.955727247511319,-0.0365552569103879,0.0717959735770622
"Attn_AbsPE - Attn_RoPE","test",0.0172264999999944,0.0178844171636539,75.5492867244178,0.963212826135783,0.960272612523846,-0.0369491152438575,0.0714021152438463
"Attn_AbsPE - Attn_AbsPE_H80","test",0.00992763333332637,0.0178844171636539,75.5492867234473,0.555099629050371,0.997814696948641,-0.0442479819105533,0.064103248577206
"Attn_AbsPE - Attn_RoPE_H80","test",0.0322652916666644,0.0178844171636539,75.5492867328822,1.80410081980398,0.549532379599287,-0.0219103235770284,0.0864409069103573
"Attn_RoPE - Attn_AbsPE_H80","test",-0.00729886666666803,0.0178844171636539,75.5492867229842,-0.408113197085413,0.999620053435498,-0.0614744819105507,0.0468767485772147
"Attn_RoPE - Attn_RoPE_H80","test",0.01503879166667,0.0178844171636539,75.5492867324252,0.840887993668199,0.979727031066538,-0.0391368235770267,0.0692144069103668
"Attn_AbsPE_H80 - Attn_RoPE_H80","test",0.0223376583333381,0.0178844171636539,75.5492867315084,1.24900119075361,0.872356879424589,-0.0318379569103821,0.0765132735770582
