"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"arch",0.167637662561849,0.0279396104269749,6,132.706403374174,13.4224632848776,7.41595454105657e-12
"entity",0.0644833220537225,0.0644833220537225,1,156.139737574421,30.9784212995823,1.11080337955903e-07
"split",0.000608377910822354,0.000608377910822354,1,286.460636760299,0.292270724127908,0.589189156555755
"arch:entity",0.0355745388625036,0.00592908981041726,6,117.685485303434,2.84839298318321,0.0125986190681733
"arch:split",0.0326147304275717,0.00543578840459528,6,132.706403642153,2.61140614239207,0.0200215681442172
