"group","group_name","max_abs_d","mean_entity_d","eta2_arch","eta2_entity","eta2_split","eta2_arch_entity","eta2_arch_split","eta2_entity_split","eta2_3way"
"word_group","Word",0.645437920855615,0.469558429190877,0.0939442346696905,0.131456318878829,0.000123492745068165,NA,NA,NA,NA
"sentence_group","Sentence",1.27138005815118,-0.307231820076098,0.608942790386002,0.140449020849899,3.43678985596643e-05,0.160819426938146,0.023276185142484,0.0215828601234943,0.0896344300222421
"complex_event","Complex Event",0.862695968427684,0.51364498016786,0.377669916030024,0.165555398182609,0.00101924240870611,0.126805794666162,0.105600361907189,NA,NA
"basic_event","Basic Event",1.92999632543994,0.223533067155531,0.738830140380141,0.0496526879041565,0.0330045266102855,0.129024700906649,NA,NA,NA
