"contrast","train_or_test","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train",-0.0387505166666716,0.0132233670667268,65.0951649086361,-0.0675205722692581,-0.00998046106408513,-2.93045761122199,0.00747079770995951
"noent - ent","test",-0.0394021571428621,0.0132233670667268,65.0951649076771,-0.0681722127454486,-0.0106321015402756,-2.97973707785875,0.00651454580539323
