"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"arch",0.0901005190166529,0.0150167531694422,6,147.416198117477,2.77492177727313,0.0138306259698877
"entity",0.112867261734538,0.112867261734538,1,125.00041637834,20.8565606023069,1.16930464040757e-05
"train_or_test",0.000692251069319629,0.000692251069319629,1,3045.0007348398,0.127919966847734,0.720623300524077
"split",0.00243838690067217,0.00243838690067217,1,125.000416388723,0.450585611666152,0.503295542648791
"arch:entity",0.0583161425012375,0.00971935708353958,6,125.000416395257,1.79602443536799,0.105110479930793
"arch:train_or_test",0.00193386346899343,0.000322310578165572,6,3045.00073485818,0.0595592557395922,0.999166571933223
"entity:train_or_test",0.000167688406327763,0.000167688406327763,1,3045.0007348398,0.0309868721463723,0.860281384743601
"arch:entity:train_or_test",0.00176983881089462,0.000294973135149103,6,3045.00073485818,0.0545076134101618,0.999353907944242
