"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"LSTM - Attn_RoPE","test","noent",-0.0178399999999935,0.0349651750662487,61.7743128276554,-0.510221955594158,0.998619632423442,-0.124398823669141,0.0887188236691544
"LSTM - Attn_AbsPE_H80","test","noent",-0.039913927586245,0.0349651750662489,61.7743129573246,-1.14153375496103,0.912513459666979,-0.146472751247978,0.0666448960754876
"LSTM - Attn_RoPE_H80","test","noent",-0.0177877379310508,0.0349651750662488,61.7743128704415,-0.508727266411456,0.998642296451323,-0.124346561597744,0.0887710857356427
"Attn_AbsPE - Attn_RoPE","test","noent",0.00966243448271779,0.034315045658393,57.34326113655,0.281580114417085,0.999955482775686,-0.0951833613004818,0.114508230265917
"Attn_AbsPE - Attn_AbsPE_H80","test","noent",-0.0124114931035338,0.034315045658393,57.3432612173644,-0.361692454880883,0.999807148112773,-0.117257288881453,0.0924343026743853
"Attn_AbsPE - Attn_RoPE_H80","test","noent",0.00971469655166049,0.034315045658393,57.3432611214366,0.283103121830887,0.99995404624608,-0.0951310992325278,0.114560492335849
"Attn_RoPE - Attn_AbsPE_H80","test","noent",-0.0220739275862515,0.0343150456583929,57.3432608794508,-0.64327256929797,0.994981231825634,-0.126919723386246,0.0827718682137425
"Attn_RoPE - Attn_RoPE_H80","test","noent",5.22620689427039e-05,0.0343150456583929,57.3432607910398,0.00152300741380251,1,-0.104793533736822,0.104898057874707
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","noent",0.0221261896551942,0.0343150456583929,57.3432608467325,0.644795576711771,0.994916316978027,-0.082719606146939,0.126971985457327
"SRN - GRU","train","ent",0.000464970149258146,0.00627258871749911,77.2613874412135,0.0741273133309352,0.999999984782722,-0.0185245991934147,0.019454539491931
"SRN - LSTM","train","ent",0.00187342985074895,0.00627258871749911,77.2613874924969,0.298669326991342,0.999938548323248,-0.0171161394915913,0.0208629991930892
"SRN - Attn_AbsPE","train","ent",0.0407106104476527,0.00767077405176626,150.87702092395,5.30723629361483,8.03777528590732e-06,0.0177862922787419,0.0636349286165636
"SRN - Attn_RoPE","train","ent",0.0291196089551158,0.00767077405176626,150.877021004887,3.79617607800751,0.00392055088415277,0.00619529078637422,0.0520439271238574
"SRN - Attn_AbsPE_H80","train","ent",0.0677970029849615,0.00767077405176626,150.877021007251,8.83835223504603,5.51780843238703e-14,0.0448726848162235,0.0907213211536995
