"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"arch",0.496219534820726,0.0827032558034544,6,140.890530502848,66.4281415558211,1.20041064234367e-38
"entity",0.011900388924947,0.011900388924947,1,182.949083329437,9.55851994453994,0.0023017335179579
"split",0.00581079993369982,0.00581079993369982,1,136.746541609119,4.66729679259188,0.0324851145129375
"arch:entity",0.0229726467742619,0.00382877446237699,6,124.558539724025,3.07531268873539,0.00767696914949312
