"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"arch",3.36448593097942,0.560747655163237,6,140.853780820407,30.532947099196,2.77357190769726e-23
"entity",0.0402232867788866,0.0402232867788866,1,125.022894757955,2.19017498524896,0.141409025462599
"train_or_test",2.31365936371817,2.31365936371817,1,316.147340756433,125.979731359557,7.87565187725289e-25
"split",0.021426997937704,0.021426997937704,1,268.649395197009,1.16670910435826,0.281047199938915
"arch:entity",0.465962213939746,0.0776603689899577,6,125.022893959056,4.22863995282182,0.000655641832006794
"arch:train_or_test",1.2344943174783,0.20574905291305,6,124.840177631443,11.2031229920615,5.57423346047321e-10
"entity:train_or_test",0.0686061204334218,0.0686061204334218,1,124.840180279843,3.73563228769087,0.0555281359688575
"arch:entity:train_or_test",0.29776261713863,0.0496271028564383,6,124.840180020981,2.70221674981572,0.0168083919151906
