"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"arch",0.664675927866053,0.110779321311009,6,130.764650751747,16.4655560553991,4.51829209098037e-14
"entity",0.424806568380288,0.424806568380288,1,159.144193319791,63.1406320384476,3.30894368325469e-13
"train_or_test",1.9675931582688,1.9675931582688,1,304.038506753487,292.450929092983,2.09566721635186e-46
"split",0.0499610863599225,0.0499610863599225,1,288.793274961594,7.4259081777403,0.00682147836942361
"arch:entity",0.0287166669274959,0.00478611115458265,6,119.16484133502,0.711378085463322,0.64107961901221
"arch:train_or_test",0.0352982137365386,0.00588303562275643,6,118.358764653484,0.874418182708071,0.51598400254566
"entity:train_or_test",0.45125560350748,0.45125560350748,1,119.540989483328,67.0718537262512,3.29026470005893e-13
"arch:entity:train_or_test",0.0359573956859311,0.00599289928098851,6,116.749089277456,0.890747640242777,0.50416006315661
