"contrast","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","SRN",-0.00477013589961974,0.00614780499871248,133.361797392928,-0.0215081705457085,0.011967898746469,-0.775908783804747,0.981490962629504
"noent - ent","GRU",-0.000959642181854662,0.00614780499871247,133.361797547842,-0.0176976768279434,0.0157783924642341,-0.156095091183868,0.999999513265624
"noent - ent","LSTM",-0.002739195452526,0.00614780499871248,133.361797515366,-0.0194772300986148,0.0139988391935628,-0.445556658530917,0.999391861053984
"noent - ent","Attn_AbsPE",-0.00236374843599769,0.00614780499871252,133.361796623096,-0.0191017830820866,0.0143742862100912,-0.384486566586401,0.999769696484128
"noent - ent","Attn_RoPE",-0.00858775912193496,0.00614780499871253,133.36179648414,-0.0253257937680239,0.00815027552415397,-1.3968821593615,0.709949622059616
"noent - ent","Attn_AbsPE_H80",-0.00451618436814997,0.00614780499871252,133.361796714744,-0.0212542190142389,0.0122218502779389,-0.734601108703962,0.986459431290344
"noent - ent","Attn_RoPE_H80",-0.0312742654023073,0.00614780499871253,133.361796551662,-0.0480123000483962,-0.0145362307562183,-5.08706203414986,8.44494907314974e-06
