"contrast","train_or_test","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train",-0.00766068500654494,0.00334646896090538,265.487979137817,-0.0151487837745281,-0.000172586238561792,-2.28918453929791,0.0439477326560613
"noent - ent","test",-0.0939281920822269,0.0112251634443318,130.797596423068,-0.119186367421719,-0.0686700167427349,-8.3676458296611,1.53321799700734e-13
