"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - Attn_RoPE","ent",0.0301960080578175,0.00637470460272468,152.885216590631,4.73684820546997,9.91319059947537e-05,0.0111484200096419,0.0492435961059931
"SRN - Attn_AbsPE_H80","ent",0.0680991567725613,0.00637470460272466,152.885216775846,10.6827156733591,6.43929354282591e-14,0.0490515687246966,0.0871467448204261
"SRN - Attn_RoPE_H80","ent",0.0527437110108403,0.00637470460272491,152.885214159508,8.2739066824045,1.27331478694259e-12,0.0336961229586132,0.0717912990630675
"GRU - LSTM","ent",0.000151250635697514,0.00604167320664293,124.558538942949,0.0250345608781373,0.999999999978,-0.0179562395480661,0.0182587408194611
"GRU - Attn_AbsPE","ent",0.0363522161055528,0.0063747046027247,152.885216289643,5.70257264783925,1.22837270566389e-06,0.0173046280568782,0.0553998041542274
"GRU - Attn_RoPE","ent",0.0299766301996798,0.0063747046027247,152.885215973499,4.70243439780207,0.000114690573018494,0.0109290421504796,0.04902421824888
"GRU - Attn_AbsPE_H80","ent",0.0678797789144236,0.00637470460272468,152.885216163726,10.6483018656912,6.61692922676593e-14,0.0488321908655412,0.086927366963306
"GRU - Attn_RoPE_H80","ent",0.0525243331527026,0.00637470460272492,152.885213463894,8.2394928747366,1.54931623086441e-12,0.0334767450993189,0.0715719212060864
"LSTM - Attn_AbsPE","ent",0.0362009654698553,0.0063747046027247,152.88521620623,5.6788459585064,1.37706615432887e-06,0.0171533774210409,0.0552485535186697
"LSTM - Attn_RoPE","ent",0.0298253795639823,0.0063747046027247,152.885215875938,4.67870770846923,0.000126758637120639,0.0107777915146145,0.0488729676133502
"LSTM - Attn_AbsPE_H80","ent",0.0677285282787261,0.00637470460272469,152.885216070827,10.6245751763584,6.68354260824344e-14,0.0486809402296863,0.0867761163277658
"LSTM - Attn_RoPE_H80","ent",0.0523730825170051,0.00637470460272493,152.885213320677,8.21576618540375,1.76780812211064e-12,0.0333254944633841,0.0714206705706262
"Attn_AbsPE - Attn_RoPE","ent",-0.00637558590587299,0.0060416732066435,124.55854025025,-1.05526824901127,0.939668924139164,-0.0244830760865148,0.0117319042747688
"Attn_AbsPE - Attn_AbsPE_H80","ent",0.0315275628088708,0.00604167320664352,124.558540321785,5.21834957478378,1.49625744423343e-05,0.0134200726283947,0.0496350529893469
"Attn_AbsPE - Attn_RoPE_H80","ent",0.0161721170471498,0.00604167320664354,124.558540284915,2.67676130336984,0.112921895514737,-0.00193537313341172,0.0342796072277114
"Attn_RoPE - Attn_AbsPE_H80","ent",0.0379031487147438,0.00604167320664351,124.5585402698,6.27361782379506,1.10944141762381e-07,0.0197956585341471,0.0560106388953405
"Attn_RoPE - Attn_RoPE_H80","ent",0.0225477029530228,0.00604167320664353,124.558540183769,3.73202955238111,0.00521578074845996,0.00444021277222114,0.0406551931338245
"Attn_AbsPE_H80 - Attn_RoPE_H80","ent",-0.015355445761721,0.00604167320664353,124.558540275293,-2.54158827141393,0.153735907112439,-0.0334629359423031,0.0027520444188612
