"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"Attn_AbsPE - Attn_RoPE","train","noent",-0.00440361312499576,0.0109238603378809,138.599675343509,-0.403118768346504,0.999657034587197,-0.0370890864360209,0.0282818601860294
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.0467709662499885,0.0109238603378809,138.599675410895,4.28154194610123,0.000671188297313607,0.0140854929392044,0.0794564395607726
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0298448718750287,0.0109238603378809,138.599675316457,2.73208105485706,0.0980541570607216,-0.00284060143608513,0.0625303451861426
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.0511745793749842,0.0109238603378809,138.599675483916,4.68466071444772,0.000132740818709287,0.0184891060644544,0.083860052685514
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.0342484850000245,0.0109238603378809,138.599675456251,3.13519982320355,0.0334500679328498,0.00156301168939661,0.0669339583106524
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","noent",-0.0169260943749597,0.0109238603378809,138.599675358792,-1.54946089124417,0.714366350647251,-0.0496115676859259,0.0157593789360064
"SRN - GRU","test","noent",0.0238961537498705,0.0303873902123353,126.72556069382,0.786383877749731,0.985910985671278,-0.067152281889232,0.114944589388973
"SRN - LSTM","test","noent",0.0130380768746639,0.030387390212335,126.725562481944,0.429062080802563,0.999506725005278,-0.078010358743692,0.10408651249302
"SRN - Attn_AbsPE","test","noent",0.203057698749189,0.0304960117875435,128.541716264912,6.65850013975042,1.5202034187034e-08,0.11170463798379,0.294410759514589
"SRN - Attn_RoPE","test","noent",0.0128424562491374,0.0304960117875436,128.541714507229,0.421119205311398,0.999557316780483,-0.0785106045361411,0.104195517034416
"SRN - Attn_AbsPE_H80","test","noent",0.177463750624141,0.0304960117875438,128.541715752212,5.81924455763186,9.22464458597005e-07,0.0861106898529346,0.268816811395348
"SRN - Attn_RoPE_H80","test","noent",0.143092224374265,0.0304960117875438,128.541713564912,4.69216189222198,0.000136477508920207,0.0517391635783288,0.234445285170202
"GRU - LSTM","test","noent",-0.0108580768752066,0.0303873902123354,126.725561960754,-0.357321796947172,0.999829150809396,-0.101906512499617,0.0801903587492042
"GRU - Attn_AbsPE","test","noent",0.179161544999319,0.0304960117875437,128.541715004324,5.87491722679942,7.08876553012772e-07,0.0878084842196548,0.270514605778983
"GRU - Attn_RoPE","test","noent",-0.0110536975007331,0.0304960117875439,128.541713032593,-0.362463707639567,0.999814427779047,-0.102406758302681,0.0802993633012153
"GRU - Attn_AbsPE_H80","test","noent",0.153567596874271,0.0304960117875441,128.541714852532,5.03566164468085,3.20289541884122e-05,0.0622145360928918,0.24492065765565
"GRU - Attn_RoPE_H80","test","noent",0.119196070624395,0.0304960117875441,128.541712450895,3.90857897927098,0.00278643830656911,0.027843009815861,0.210549131432929
"LSTM - Attn_AbsPE","test","noent",0.190019621874525,0.0304960117875435,128.541716330526,6.23096630465434,1.27463811838702e-07,0.0986665611098604,0.28137268263919
"LSTM - Attn_RoPE","test","noent",-0.000195620625526518,0.0304960117875436,128.541713576602,-0.00641462978468618,1,-0.0915486814213275,0.0911574401702745
"LSTM - Attn_AbsPE_H80","test","noent",0.164425673749478,0.0304960117875439,128.541715548858,5.39171072253577,6.64244469017472e-06,0.0730726129759679,0.255778734522987
"LSTM - Attn_RoPE_H80","test","noent",0.130054147499601,0.0304960117875438,128.541713526183,4.2646280571259,0.000746834241358796,0.0387010867032282,0.221407208295975
"Attn_AbsPE - Attn_RoPE","test","noent",-0.190215242500052,0.0303873902123321,126.725522883643,-6.25967683209784,1.14266581641154e-07,-0.281263678577571,-0.0991668064225331
"Attn_AbsPE - Attn_AbsPE_H80","test","noent",-0.0255939481250477,0.0303873902123321,126.725524277142,-0.842255552260652,0.979930358557379,-0.116642384186406,0.0654544879363107
"Attn_AbsPE - Attn_RoPE_H80","test","noent",-0.0599654743749239,0.030387390212332,126.725523327329,-1.97336704323454,0.436683947580472,-0.151013910447291,0.0310829616974437
"Attn_RoPE - Attn_AbsPE_H80","test","noent",0.164621294375004,0.0303873902123323,126.725521381343,5.41742127983715,6.0285642921043e-06,0.0735728582800717,0.255669730469936
"Attn_RoPE - Attn_RoPE_H80","test","noent",0.130249768125128,0.0303873902123322,126.725520041459,4.28630978886329,0.000692905258745546,0.039201332014668,0.221298204235588
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","noent",-0.0343715262498762,0.0303873902123322,126.725521770367,-1.13111149097388,0.917334925193096,-0.125419962340299,0.0566769098405466
"SRN - GRU","train","ent",0.0243592537499686,0.0109238603378806,138.599674309049,2.22991259468031,0.286512833567973,-0.00832621956464784,0.057044727064585
"SRN - LSTM","train","ent",0.0143810362499604,0.0109238603378805,138.599674195415,1.31647932188326,0.843209814671033,-0.0183044370650531,0.0470665095649739
"SRN - Attn_AbsPE","train","ent",0.0596286868746145,0.0112224763626783,153.957467638913,5.31332701870656,7.64370617345467e-06,0.0260991024307947,0.0931582713184344
"SRN - Attn_RoPE","train","ent",0.0577115531246735,0.0112224763626784,153.957467614007,5.14249718685975,1.66633122905546e-05,0.0241819686807833,0.0912411375685636
"SRN - Attn_AbsPE_H80","train","ent",0.0841634918746069,0.0112224763626784,153.957467638093,7.49954726164558,9.97089077969804e-11,0.0506339074307864,0.117693076318428
"SRN - Attn_RoPE_H80","train","ent",0.0554597868746438,0.0112224763626788,153.957467314582,4.94184929264627,4.0686288793168e-05,0.0219302024298889,0.0889893713193986
"GRU - LSTM","train","ent",-0.00997821750000819,0.0109238603378806,138.599674231556,-0.913433272797053,0.9698891579369,-0.0426636908148984,0.022707255814882
"GRU - Attn_AbsPE","train","ent",0.035269433124646,0.0112224763626784,153.957467605296,3.14274960221244,0.0322361251185321,0.0017398486807353,0.0687990175685567
"GRU - Attn_RoPE","train","ent",0.0333522993747049,0.0112224763626784,153.957467660908,2.97191977036564,0.0522109592827027,-0.000177285069047753,0.0668818838184575
