group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.7336786008543437,-0.9376488791571723,,0.7960297216971716,,,,,,,,,,1.0,-0.9443655676311917,1.7336778690417607,-0.9376487930615743,,0.7960290759801865,,,,,,,,,1.0,-0.9443655676311917,,-7.318125829769428e-07,1.7336786008543437,,1.7336778690417607
Sentence,sentence_group,160,160,-0.06600283086299896,1.108652858085287,-0.7415762931846984,-0.2304513769566237,0.36707656490058865,,,0.5663284975303603,0.6532068373984657,,0.3022995666367933,,,0.6465420020744205,1.0,-0.8424655473751738,1.1368955288613236,-0.7647485741735593,-0.22454699996297522,0.37214695468776426,,,0.5623970732358949,0.6367202523164451,,0.22124360089655964,,,1.0,-0.8534784740834549,0.689691417478025,0.028242670776036594,1.108652858085287,,1.1368955288613236
Complex_Event,complex_event,144,96,,1.1388198488245609,-0.6104438793233485,-0.15675771959245646,0.5283759695012122,0.6358618493298612,,,,0.4775024225236848,,0.8500648261979222,,,1.0,-0.8017369989473891,1.4475002385831128,-0.7923764196845392,-0.13452313153107684,0.6551238188985735,0.8212758921500709,,,,0.4752600993184994,,0.9285933872063955,,1.0,-0.7998259128243835,,0.30868038975855194,1.1388198488245609,,1.4475002385831128
Basic_Event,basic_event,134,58,,0.7065679918487566,-0.32698511030664135,-0.23413757126157483,0.3795828815421154,,0.8288472847392162,,,,,,0.3821323339281411,,1.0,-0.41938211798839187,1.12884360644503,-0.5028002904125708,-0.14024637052664599,0.6260433160324594,,0.8831927701830864,,,,,,0.6332194222199884,1.0,-0.5359118050844663,,0.4222756145962734,0.7065679918487566,0.0,1.12884360644503
