group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.7286481401986544,-0.9188972156908778,,0.8097509245077769,,,,,,,,,,1.0,-0.9443655676311917,1.728634160425928,-0.9188908404774137,,0.8097433199485143,,,,,,,,,1.0,-0.9443655676311917,,-1.3979772726324668e-05,1.7286481401986544,,1.728634160425928
Sentence,sentence_group,160,160,-0.17239050581119955,0.8631002470195875,-0.5938864955129015,-0.2150859770545746,0.2692137515066861,,,0.4632259428501129,0.6312487053219229,,0.40595828294754027,,,0.3404309880505025,1.0,-0.8424655473751738,1.123638860643381,-0.7369211955847039,-0.20221816064088977,0.3867176650586771,,,0.5575302522097315,0.6116265795149957,,0.22614772035740316,,,1.0,-0.8534784740834549,0.6923212057503406,0.2605386136237934,0.8631002470195875,,1.123638860643381
Complex_Event,complex_event,144,96,,0.9355738073220841,-0.4839866817407053,-0.20009544516667824,0.45158712558137876,0.6295916358940303,,,,0.6064597716322169,,0.7080681884059837,,,1.0,-0.8017369989473891,1.4238740142857378,-0.7791161607364538,-0.13574650840126667,0.6447578535492843,0.802275519611107,,,,0.4822168554334591,,0.9167219565974342,,1.0,-0.7998259128243835,,0.4883002069636537,0.9355738073220841,,1.4238740142857378
Basic_Event,basic_event,134,58,,0.5885028979960486,-0.25250839052090274,-0.2477761834549407,0.3359945074751459,,0.8296729549765587,,,,,,0.3374675836028724,,1.0,-0.41938211798839187,1.090239165830121,-0.4753699018617602,-0.1363939308128985,0.614869263968361,,0.8642962644142764,,,,,,0.621663278246771,1.0,-0.5359118050844663,,0.5017362678340723,0.5885028979960486,0.0,1.090239165830121
