group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.6909324783417914,-0.8936209239893489,,0.7973115543524424,,,,,,,,,,1.0,-0.9443655676311917,1.69089941183726,-0.893596132596334,,0.7973032792409261,,,,,,,,,1.0,-0.9443655676311917,,-3.306650453138715e-05,1.6909324783417914,,1.69089941183726
Sentence,sentence_group,160,160,-0.038230100274086,1.1654652081176156,-0.7654883225281938,-0.22594015059827752,0.39997688558942174,,,0.5599084617836135,0.6550519390264526,,0.24467421093722805,,,0.7727444744901731,1.0,-0.8424655473751738,1.144888629078304,-0.7553635717950047,-0.21673492240439982,0.3895250572832992,,,0.5458372210152447,0.6510140035999938,,0.1874034289328847,,,1.0,-0.8534784740834549,0.7451424684841186,-0.020576579039311538,1.1654652081176156,,1.144888629078304
Complex_Event,complex_event,144,96,,1.0368726416226208,-0.5438345403456172,-0.1745452587880815,0.4930381012770037,0.6801260663196445,,,,0.5652684544329531,,0.7066306561076393,,,1.0,-0.8017369989473891,1.4249148708078319,-0.7767654476618326,-0.14179520450394464,0.6481494231459995,0.8155347518622875,,,,0.5149558954096088,,0.9103447070552243,,1.0,-0.7998259128243835,,0.38804222918521103,1.0368726416226208,,1.4249148708078319
Basic_Event,basic_event,134,58,,0.5917481502655882,-0.26045841107816686,-0.24699808936566114,0.3312897391874215,,0.8063535057008266,,,,,,0.3347186980576351,,1.0,-0.41938211798839187,1.0934774421744915,-0.4823621225479465,-0.13755176786383214,0.6111153196265449,,0.8604105130902359,,,,,,0.6194623147915882,1.0,-0.5359118050844663,,0.5017292919089033,0.5917481502655882,0.0,1.0934774421744915
