group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.7556504160165787,-0.9325919200976688,,0.8230584959189097,,,,,,,,,,1.0,-0.9443655676311917,1.7556132417586117,-0.932622744805283,,0.8229904969533285,,,,,,,,,1.0,-0.9443655676311917,,-3.7174257967009794e-05,1.7556504160165787,,1.7556132417586117
Sentence,sentence_group,160,160,-0.10507341437041759,0.9660743115624978,-0.6475354662234947,-0.17871381572254752,0.3185388453390033,,,0.6096503768249282,0.5129746246966533,,0.34081139862537385,,,0.3944191922317259,1.0,-0.8534784740834549,1.1414945313411105,-0.7431323242314345,-0.1988496985707267,0.39836220710967607,,,0.554100560929094,0.5974317710730247,,0.2745098555460572,,,1.0,-0.8424655473751738,0.7137924868497066,0.17542021977861266,0.9660743115624978,,1.1414945313411105
Complex_Event,complex_event,96,144,,1.1155949218484102,-0.5850094781309828,-0.18470268274433221,0.5305854437174276,0.7324091287122833,,,,0.6373087569760779,,0.7382982813028826,,,1.0,-0.7998259128243835,1.3965976726315503,-0.7619529372598562,-0.1361573745444831,0.634644735371694,0.7745806196083626,,,,0.5304945111274719,,0.8934495188295841,,1.0,-0.8017369989473891,,0.2810027507831401,1.1155949218484102,,1.3965976726315503
Basic_Event,basic_event,126,66,,0.7306726169934135,-0.2652430429680137,-0.1780545213924987,0.46542957402539975,,0.8116873619811875,,,,,,0.4597871389352914,,1.0,-0.4440086072291991,1.0350919383591555,-0.4730980455371547,-0.16558649863761205,0.5619938928220007,,0.875762956073651,,,,,,0.5654843874157421,1.0,-0.5304109257739529,,0.304419321365742,0.7306726169934135,0.0,1.0350919383591555
