group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.7027086077464952,-0.8854126888844701,,0.8172959188620249,,,,,,,,,,1.0,-0.9443655676311917,1.7027019717627103,-0.8854048260384135,,0.8172971457242966,,,,,,,,,1.0,-0.9443655676311917,,-6.635983784919475e-06,1.7027086077464952,,1.7027019717627103
Sentence,sentence_group,160,160,-0.03445272147655487,1.001124510395266,-0.6691242018855065,-0.14341403345100237,0.33200030850975965,,,0.5450715205898242,0.35581246595829724,,0.28329378734342753,,,0.5479752332787029,1.0,-0.8534784740834549,1.1449041020029438,-0.7487589836999871,-0.20330265544228796,0.3961451183029567,,,0.5597248088834541,0.6095791266299784,,0.2711546005681157,,,1.0,-0.8424655473751738,0.7133695009513759,0.14377959160767784,1.001124510395266,,1.1449041020029438
Complex_Event,complex_event,96,144,,1.1952393353793822,-0.6303013442245882,-0.15217650090171786,0.564937991154794,0.6459796647282524,,,,0.5518539738841355,,0.8732206372337209,,,1.0,-0.7998259128243835,1.4217259517327572,-0.7787475638479616,-0.13741558514508748,0.6429783878847957,0.7723757649073377,,,,0.532662440781678,,0.9192059617489576,,1.0,-0.8017369989473891,,0.22648661635337497,1.1952393353793822,,1.4217259517327572
Basic_Event,basic_event,126,66,,0.7583827695120221,-0.3179885388735324,-0.16538433165156416,0.4403942306384896,,0.7618870916111129,,,,,,0.43662659180435265,,1.0,-0.4440086072291991,1.0284598538749536,-0.46798211978984045,-0.16561724252712268,0.5604777340851133,,0.8742696814812146,,,,,,0.5647181663957853,1.0,-0.5304109257739529,,0.27007708436293154,0.7583827695120221,0.0,1.0284598538749536
