avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,checkpoint_name,concat_entity_vector,entity_condition,experiment_id,group_name,hidden_dim,model_index,model_type,n_heads,n_layers,output_dim,output_key,paper_label,seed,split,test_passes_threshold
,1.6308997401760685,-0.8524053672121631,,0.7784943729639053,,,,,,,,,,1.0,-0.9443655676311917,1.6308726867039998,-0.8523906668027244,,0.7784820199012756,,,,,,,,,1.0,-0.9443655676311917,,attn_rope_l2_h48_nh4_nosem_noent_s1_m4_best_model.pt,False,no_entity,exp_1_entity_vectors,Word,48,4,ROPE_ATTN,4,2,150,word_group,RoPE,481388033032807173,1,
-0.04272485673427582,1.1165918737143457,-0.7491202834125164,-0.21999490652372816,0.3674715903018296,,,0.5461395686791678,0.5742458687163889,,0.18897871477529407,,,0.7535182963591069,1.0,-0.8534784740834549,1.1568384117263122,-0.7536553194919178,-0.2260201191534482,0.4031830922343943,,,0.5564834592331733,0.6724586681928486,,0.23521983733517118,,,1.0,-0.8424655473751738,0.7750628196634353,attn_rope_l2_h48_nh4_nosem_noent_s1_m4_best_model.pt,False,no_entity,exp_1_entity_vectors,Sentence,48,4,ROPE_ATTN,4,2,150,sentence_group,RoPE,481388033032807173,1,
,1.1776097253896296,-0.6163899563123576,-0.17177248640951737,0.561219769077272,0.7862188099986978,,,,0.5773218676137427,,0.75464469291425,,,1.0,-0.7998259128243835,1.4010166077326076,-0.7644906190762009,-0.14045846407922605,0.6365259886564066,0.7968952634061376,,,,0.5263514628168195,,0.8893712765226761,,1.0,-0.8017369989473891,,attn_rope_l2_h48_nh4_nosem_noent_s1_m4_best_model.pt,False,no_entity,exp_1_entity_vectors,Complex_Event,48,4,ROPE_ATTN,4,2,150,complex_event,RoPE,481388033032807173,1,
,0.8354381001228114,-0.3453164442793367,-0.16692089928047998,0.49012165584347467,,0.8040853259818894,,,,,,0.4920501799294443,,1.0,-0.4440086072291991,1.0421789823070404,-0.48642359697629534,-0.16428844809818727,0.5557553853307452,,0.8656934866538415,,,,,,0.5602172853218185,1.0,-0.5304109257739529,,attn_rope_l2_h48_nh4_nosem_noent_s1_m4_best_model.pt,False,no_entity,exp_1_entity_vectors,Basic_Event,48,4,ROPE_ATTN,4,2,150,basic_event,RoPE,481388033032807173,1,0.0
