group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.682786828941769,-0.8885316169924207,,0.7942552119493484,,,,,,,,,,1.0,-0.9443655676311917,1.6828205933173501,-0.8885706961154938,,0.794249897201856,,,,,,,,,1.0,-0.9443655676311917,,3.376437558122447e-05,1.682786828941769,,1.6828205933173501
Sentence,sentence_group,160,160,0.026683115959167482,1.0794622842415678,-0.7017340453151475,-0.19366781742669445,0.3777282389264201,,,0.5996075436472893,0.6102641607052647,,0.29194733935873957,,,0.5908402059227228,1.0,-0.8424655473751738,1.155584065180721,-0.7615270029881339,-0.22786431299173274,0.3940570621925872,,,0.5565647133359951,0.6834767197724432,,0.1988908381666988,,,1.0,-0.8534784740834549,0.755645029898733,0.07612178093915323,1.0794622842415678,,1.155584065180721
Complex_Event,complex_event,144,96,,0.9733166295103729,-0.5058078707040597,-0.18507469874910185,0.4675087588063131,0.684849200459818,,,,0.5865882788784802,,0.6498332440387458,,,1.0,-0.8017369989473891,1.411844726056087,-0.7649566518108865,-0.14070365826288858,0.6468880742452003,0.8077085229257742,,,,0.5328109963835838,,0.8980797038724025,,1.0,-0.7998259128243835,,0.438528096545714,0.9733166295103729,,1.411844726056087
Basic_Event,basic_event,134,58,,0.5401959447939505,-0.22016991152503024,-0.25253146219377715,0.3200260332689203,,0.8033357361952463,,,,,,0.32807148915940315,,1.0,-0.41938211798839187,1.0854801649570234,-0.4748925361485392,-0.13601947274375042,0.6105876288084842,,0.8556587052132402,,,,,,0.6202344263542388,1.0,-0.5359118050844663,,0.5452842201630729,0.5401959447939505,0.0,1.0854801649570234
