group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.6745891273021698,-0.8803542455037436,,0.7942348817984263,,,,,,,,,,1.0,-0.9443655676311917,1.6753657749957507,-0.8808429878618983,,0.7945227871338526,,,,,,,,,1.0,-0.9443655676311917,,0.0007766476935808786,1.6745891273021698,,1.6753657749957507
Sentence,sentence_group,160,160,-0.03519022166728973,1.128226775588601,-0.7371563366351352,-0.2095881641037219,0.39107043895346577,,,0.5558274223203106,0.6246033835457638,,0.29223996587097645,,,0.6950619964743965,1.0,-0.8424655473751738,1.1161929425849264,-0.7283949473137324,-0.18800348829515012,0.38779799527119396,,,0.5558299649656484,0.5743196121533402,,0.22304042261093854,,,1.0,-0.8534784740834549,0.6851131663890555,-0.012033833003674665,1.128226775588601,,1.1161929425849264
Complex_Event,complex_event,144,96,,0.9665471157644586,-0.5140428474021165,-0.18729776940179158,0.4525042683623421,0.5838394504971802,,,,0.5986822810955346,,0.7095569704348842,,,1.0,-0.8017369989473891,1.4379628444375057,-0.7817052847498821,-0.12089146024771726,0.6562575596876236,0.7843657603694333,,,,0.5237040257391831,,0.8959816988143656,,1.0,-0.7998259128243835,,0.47141572867304704,0.9665471157644586,,1.4379628444375057
Basic_Event,basic_event,134,58,,0.5051820199821551,-0.17249834576177397,-0.2183330038872858,0.3326836742203811,,0.766930878162384,,,,,,0.3342395252708731,,1.0,-0.41938211798839187,1.0921301133387158,-0.47735591143939365,-0.13360994628497533,0.6147742018993221,,0.8580435008874961,,,,,,0.6222960515253579,1.0,-0.5359118050844663,,0.5869480933565607,0.5051820199821551,0.0,1.0921301133387158
