group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.6942564911312525,-0.9071062670813665,,0.7871502240498861,,,,,,,,,,1.0,-0.9443655676311917,1.6942573065559072,-0.9071064218878745,,0.7871508846680323,,,,,,,,,1.0,-0.9443655676311917,,8.154246546876465e-07,1.6942564911312525,,1.6942573065559072
Sentence,sentence_group,160,160,-0.047459715604782106,1.1634901521464696,-0.7824671533788076,-0.21251229360927182,0.3810229987676621,,,0.595886856845131,0.5652923439101869,,0.2568394376896322,,,0.715187612036243,1.0,-0.8424655473751738,1.2054748208679398,-0.7996305296896848,-0.23412441408355944,0.40584429117825493,,,0.578730470993157,0.6836542100509178,,0.18614105010346976,,,1.0,-0.8534784740834549,0.8010348497482482,0.04198466872147022,1.1634901521464696,,1.2054748208679398
Complex_Event,complex_event,144,96,,1.2650916754326318,-0.6768145320063922,-0.1434045691922721,0.5882771434262395,0.7222072595419983,,,,0.48058686882723123,,0.8799471519887447,,,1.0,-0.8017369989473891,1.4506430146888034,-0.7943014017030321,-0.13980453024204406,0.6563416129857715,0.8288514758977625,,,,0.49152621254324913,,0.9303735320766767,,1.0,-0.7998259128243835,,0.18555133925617162,1.2650916754326318,,1.4506430146888034
Basic_Event,basic_event,134,58,,0.3841703367919993,-0.09933448565090824,-0.2379010155176123,0.28483585114109106,,0.7634947920838991,,,,,,0.2817548243650075,,1.0,-0.41938211798839187,1.1210907690217764,-0.49856932420024075,-0.1380304548698145,0.6225214448215356,,0.8752690388688019,,,,,,0.6292987489558534,1.0,-0.5359118050844663,,0.7369204322297771,0.3841703367919993,0.0,1.1210907690217764
