group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.7270910864075024,-0.9215879018108049,,0.8055031845966975,,,,,,,,,,1.0,-0.9443655676311917,1.7270914291342099,-0.9215884730219841,,0.8055029561122259,,,,,,,,,1.0,-0.9443655676311917,,3.427267074584961e-07,1.7270910864075024,,1.7270914291342099
Sentence,sentence_group,160,160,-0.04576561748981476,1.125764568678513,-0.7595683584291085,-0.23737200757878632,0.3661962102494044,,,0.5739582337372537,0.6330075592501089,,0.23314047851599753,,,0.714539386285469,1.0,-0.8534784740834549,1.215912224610154,-0.7991122174686531,-0.2348198564050108,0.41680000714150084,,,0.5854016583545931,0.686283284734236,,0.23775771253276617,,,1.0,-0.8424655473751738,0.8075132676400244,0.09014765593164098,1.125764568678513,,1.215912224610154
Complex_Event,complex_event,96,144,,1.3637475485264547,-0.7238966957224032,-0.1399512187043136,0.6398508528040515,0.8041642960160971,,,,0.5247302708448842,,0.8914977245860629,,,1.0,-0.7998259128243835,1.4360332851039452,-0.7904295586411738,-0.14246162222277942,0.6456037264627715,0.813163295853883,,,,0.5134189398304443,,0.9151386320590973,,1.0,-0.8017369989473891,,0.07228573657749049,1.3637475485264547,,1.4360332851039452
Basic_Event,basic_event,126,66,,0.7746445606180439,-0.32502730152654374,-0.14026340923737735,0.4496172590915001,,0.7041531269039426,,,,,,0.45760121425105765,,1.0,-0.4440086072291991,1.0631522371697149,-0.4963303892900176,-0.16890132935860983,0.5668218478796974,,0.8880050921669373,,,,,,0.570063698977705,1.0,-0.5304109257739529,,0.288507676551671,0.7746445606180439,0.0,1.0631522371697149
