group_name,output_key,n_train,n_test,avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,generalization_gap,test_advantage,test_passes_threshold,train_advantage
Word,word_group,12,12,,1.6561904081350398,-0.8635922649150922,,0.7925981432199478,,,,,,,,,,1.0,-0.9443655676311917,1.6560136363712241,-0.8610468343702249,,0.7949668020009995,,,,,,,,,1.0,-0.9443655676311917,,-0.00017677176381569737,1.6561904081350398,,1.6560136363712241
Sentence,sentence_group,160,160,-0.08242948614060878,1.0529071387733115,-0.6907726925757418,-0.18510501357748882,0.36213444619756957,,,0.5756848255438464,0.5497338001208846,,0.26032772487960754,,,0.610587942507118,1.0,-0.8424655473751738,1.0727542840210447,-0.69221920730634,-0.17662643501979197,0.3805350767147047,,,0.513473866813417,0.5756923727400135,,0.21751358904875814,,,1.0,-0.8534784740834549,0.6613168733892962,0.019847145247733122,1.0529071387733115,,1.0727542840210447
Complex_Event,complex_event,144,96,,1.0393456822291125,-0.571552510340876,-0.2043917239473861,0.4677931718882367,0.8143890528008342,,,,0.6848983881063759,,0.4827717138590136,,,1.0,-0.8017369989473891,1.4496012159010947,-0.7868943812360091,-0.12185543376728201,0.6627068346650857,0.794416144490242,,,,0.524693621477733,,0.9070171324743165,,1.0,-0.7998259128243835,,0.4102555336719822,1.0393456822291125,,1.4496012159010947
Basic_Event,basic_event,134,58,,0.5262221105051517,-0.22155051736626774,-0.24282314263594648,0.30467159313888387,,0.779003381729126,,,,,,0.30508695658424806,,1.0,-0.41938211798839187,1.0509058839522198,-0.4505319906432247,-0.12986002232147648,0.6003738933089954,,0.8327929744763034,,,,,,0.6086704943662704,1.0,-0.5359118050844663,,0.5246837734470682,0.5262221105051517,0.0,1.0509058839522198
