avg_route_preference,avg_test_advantage,avg_test_competing,avg_test_composition_preference,avg_test_described,avg_test_loc_comp,avg_test_location_comp,avg_test_location_component,avg_test_lose_component,avg_test_manner_comp,avg_test_manner_component,avg_test_play_comp,avg_test_play_toy_comp,avg_test_win_component,avg_theoretical_max,avg_theoretical_min,avg_train_advantage,avg_train_competing,avg_train_composition_preference,avg_train_described,avg_train_loc_comp,avg_train_location_comp,avg_train_location_component,avg_train_lose_component,avg_train_manner_comp,avg_train_manner_component,avg_train_play_comp,avg_train_play_toy_comp,avg_train_theoretical_max,avg_train_theoretical_min,avg_train_win_component,checkpoint_name,concat_entity_vector,entity_condition,experiment_id,group_name,hidden_dim,model_index,model_type,n_heads,n_layers,output_dim,output_key,paper_label,seed,split,test_passes_threshold
,1.7273942704002063,-0.9297218893965086,,0.7976723810036978,,,,,,,,,,1.0,-0.9443655676311917,1.7273946429292364,-0.9297219986716905,,0.7976726442575455,,,,,,,,,1.0,-0.9443655676311917,,gru_l1_h90_nosem_noent_s1_m0_best_model.pt,False,no_entity,exp_1_entity_vectors_GRU_followup,Word,90,0,SIMPLE_GRU,,1,150,word_group,GRU,37583282239519232,1,
-0.061197918653488156,1.120090917321664,-0.7562216981393985,-0.22722448828316527,0.3638692191822656,,,0.5788794318613197,0.6066376964678056,,0.18578527210047469,,,0.7034700925112702,1.0,-0.8534784740834549,1.2242331139838651,-0.8071661361601228,-0.23371180409612863,0.41706697782374247,,,0.6057928844488093,0.6789016107097268,,0.23563265373231843,,,1.0,-0.8424655473751738,0.7960897372420732,gru_l1_h90_nosem_noent_s1_m0_best_model.pt,False,no_entity,exp_1_entity_vectors_GRU_followup,Sentence,90,0,SIMPLE_GRU,,1,150,sentence_group,GRU,37583282239519232,1,
,1.2914965769472202,-0.6847642893866309,-0.15101400924484348,0.6067322875605896,0.7525416887882683,,,,0.49315310987488675,,0.9119757970588075,,,1.0,-0.7998259128243835,1.4277823641676353,-0.7817375312805072,-0.14403437317297277,0.646044832887128,0.819747865665704,,,,0.5115170510835014,,0.9160778181006511,,1.0,-0.8017369989473891,,gru_l1_h90_nosem_noent_s1_m0_best_model.pt,False,no_entity,exp_1_entity_vectors_GRU_followup,Complex_Event,90,0,SIMPLE_GRU,,1,150,complex_event,GRU,37583282239519232,1,
,0.8119609543966656,-0.3270166169257007,-0.15183264827438897,0.48494433747096494,,0.7778705113700458,,,,,,0.4778511318533371,,1.0,-0.4440086072291991,1.0610066439383434,-0.49263657404381783,-0.1690293000294612,0.5683700698945258,,0.8885808300513488,,,,,,0.5722860097885132,1.0,-0.5304109257739529,,gru_l1_h90_nosem_noent_s1_m0_best_model.pt,False,no_entity,exp_1_entity_vectors_GRU_followup,Basic_Event,90,0,SIMPLE_GRU,,1,150,basic_event,GRU,37583282239519232,1,0.0
